従来手法の総ピクセル数,提案手法の総ピクセル数,従来手法の総ピクセル数-提案手法の総ピクセル数
24464,18729,5735
22485,17537,4948
21469,16663,4806
19234,15107,4127
17159,13370,3789
16821,13143,3678
16002,12483,3519
15418,11914,3504
14947,11574,3373
14428,10958,3470
13820,10565,3255
13646,10394,3252
13333,10227,3106
13127,10101,3026
13058,10018,3040
12985,9979,3006
12881,9888,2993
12864,9841,3023
12609,9698,2911
12570,9650,2920
12522,9581,2941
12453,9561,2892
12322,9392,2930
12216,9388,2828
12209,9339,2870
12165,9255,2910
12168,9292,2876
12080,9227,2853
11983,9084,2899
11979,9062,2917
11777,8904,2873
11785,8842,2943
11873,8856,3017
11710,8817,2893
11625,8747,2878
11677,8765,2912
11595,8730,2865
11568,8659,2909
11531,8607,2924
11480,8592,2888
11335,8477,2858
11436,8497,2939
11433,8540,2893
11395,8464,2931
11355,8460,2895
11307,8348,2959
11152,8223,2929
11204,8174,3030
11080,8104,2976
11053,8113,2940
11015,8068,2947
11158,8146,3012
11058,8107,2951
11037,7994,3043
11024,8051,2973
10983,7929,3054
10958,7914,3044
11174,7984,3190
10969,7896,3073
10981,7860,3121
10931,7827,3104
10940,7825,3115
10927,7832,3095
10939,7852,3087
10913,7820,3093
10916,7743,3173
10823,7670,3153
10906,7678,3228
10674,7605,3069
10706,7595,3111
10693,7573,3120
10708,7581,3127
10716,7621,3095
10746,7625,3121
10690,7593,3097
10656,7578,3078
10529,7454,3075
10651,7492,3159
10620,7448,3172
10700,7457,3243
10627,7374,3253
10663,6844,3819
10630,6735,3895
10711,6743,3968
10695,6759,3936
10730,6756,3974
10645,6693,3952
10696,6708,3988
10736,6686,4050
10807,6710,4097
10769,6677,4092
10715,6610,4105
10596,6568,4028
10595,6633,3962
10471,6523,3948
10560,6576,3984
10696,6484,4212
11002,6561,4441
11126,6540,4586
13241,8174,5067
13064,7906,5158
13355,8070,5285
13278,8015,5263
13547,8226,5321
13265,8017,5248
13433,8212,5221
13183,8017,5166
13473,8223,5250
13253,8000,5253
13410,8135,5275
13238,8043,5195
13544,8268,5276
13572,8272,5300
14047,8474,5573
13893,8287,5606
14500,8957,5543
14312,8661,5651
14630,9146,5484
14800,9116,5684
15188,9372,5816
17197,10068,7129
29598,15780,13818
35066,17864,17202
32942,18948,13994
26937,16014,10923
25469,15568,9901
21721,13327,8394
18948,12147,6801
16848,11001,5847
13573,9031,4542
9676,7452,2224
8961,6826,2135
7489,5347,2142
7134,5106,2028
6369,4833,1536
6924,5570,1354
6106,4862,1244
6693,5231,1462
7390,6129,1261
9403,7854,1549
8825,7377,1448
8806,7816,990
9400,8584,816
10587,9566,1021
8930,8555,375
10209,9607,602
9727,9262,465
8932,8431,501
6297,6234,63
4742,4687,55
1145,1145,0
100,100,0
58,58,0
34,34,0
77,77,0
127,127,0
96,96,0
84,84,0
49,49,0
114,114,0
51,51,0
95,95,0
40,40,0
28,28,0
0,0,0
0,0,0
0,0,0
26,26,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
83,83,0
42,42,0
96,96,0
0,0,0
180,180,0
130,130,0
116,116,0
0,0,0
134,134,0
86,86,0
118,118,0
0,0,0
194,159,35
1621,1095,526
3936,3133,803
5583,4517,1066
9606,7828,1778
12362,11020,1342
14351,13480,871
15024,14248,776
15531,14775,756
15641,14857,784
16702,15861,841
17624,16678,946
18211,17194,1017
18981,17881,1100
20242,19064,1178
20559,19336,1223
21618,20330,1288
22664,21295,1369
23283,21879,1404
24229,22777,1452
25609,24063,1546
26123,24454,1669
26441,24594,1847
24653,22655,1998
24847,22782,2065
23819,21654,2165
23876,21708,2168
24082,21886,2196
23443,21208,2235
23762,21552,2210
23811,21578,2233
23712,21502,2210
23513,21316,2197
23453,21251,2202
23620,21387,2233
23440,21167,2273
23562,21297,2265
23427,21157,2270
23379,21113,2266
23392,21147,2245
23164,20956,2208
23156,20958,2198
23451,21237,2214
23427,21220,2207
23335,21093,2242
23459,21241,2218
23427,21155,2272
23116,20853,2263
23257,20982,2275
23262,20989,2273
22890,20611,2279
22924,20676,2248
22497,20234,2263
22431,20203,2228
22620,20375,2245
22577,20341,2236
22411,20168,2243
22494,20272,2222
22561,20278,2283
22445,20206,2239
22693,20462,2231
22517,20288,2229
22485,20240,2245
22529,20318,2211
22265,19974,2291
22087,19812,2275
22397,20099,2298
22363,20073,2290
22260,19952,2308
22255,20014,2241
22286,19969,2317
22077,19794,2283
22305,20020,2285
22259,20002,2257
22049,19732,2317
22216,19941,2275
22066,19779,2287
21896,19608,2288
22066,19814,2252
21974,19749,2225
21988,19733,2255
21959,19724,2235
22148,19861,2287
21973,19678,2295
22248,19948,2300
22046,19760,2286
21981,19668,2313
21956,19661,2295
21840,19502,2338
21832,19492,2340
21785,19460,2325
21707,19434,2273
21684,19359,2325
21763,19474,2289
21821,19526,2295
21714,19388,2326
21814,19495,2319
21727,19434,2293
21625,19288,2337
21626,19306,2320
21739,19447,2292
21548,19251,2297
21699,19388,2311
21656,19420,2236
21622,19306,2316
21496,19257,2239
21556,19307,2249
21350,19108,2242
21556,19378,2178
21526,19352,2174
21340,19150,2190
21154,19023,2131
21419,19264,2155
21268,19129,2139
21262,19159,2103
21098,19009,2089
21240,19152,2088
21404,19355,2049
22340,20276,2064
22630,20614,2016
23172,21155,2017
24137,22150,1987
24338,22373,1965
24332,22347,1985
25179,23166,2013
24964,23020,1944
25428,23480,1948
25292,23343,1949
25598,23700,1898
25553,23692,1861
25949,24081,1868
25577,23670,1907
25728,23801,1927
25429,23507,1922
24844,22911,1933
24854,22897,1957
24459,22471,1988
24084,22119,1965
24208,22202,2006
24449,22454,1995
24157,22113,2044
24425,22369,2056
24466,22420,2046
24201,22217,1984
24300,22263,2037
24467,22452,2015
24316,22355,1961
24295,22298,1997
24735,22758,1977
24563,22636,1927
24425,22472,1953
24619,22688,1931
24524,22578,1946
24727,22771,1956
24666,22693,1973
24676,22720,1956
24436,22439,1997
24523,22523,2000
24553,22553,2000
24444,22457,1987
24930,22916,2014
24720,22751,1969
24481,22515,1966
24791,22810,1981
24796,22769,2027
24806,22819,1987
24979,22942,2037
24598,22587,2011
24570,22563,2007
24739,22727,2012
24489,22464,2025
24470,22484,1986
25022,23020,2002
24690,22719,1971
24794,22804,1990
24870,22876,1994
24867,22831,2036
24962,22950,2012
24971,22949,2022
24722,22712,2010
24974,22951,2023
25014,23014,2000
24803,22754,2049
24715,22703,2012
25059,23035,2024
24864,22860,2004
24842,22828,2014
24888,22871,2017
24766,22723,2043
24906,22859,2047
24886,22818,2068
24689,22638,2051
24914,22860,2054
24943,22911,2032
24703,22665,2038
24895,22898,1997
25594,23599,1995
25497,23487,2010
25583,23577,2006
25796,23793,2003
25620,23566,2054
25704,23634,2070
25952,23879,2073
25823,23729,2094
25978,23839,2139
26090,23934,2156
25924,23716,2208
25948,23762,2186
26163,23990,2173
25851,23714,2137
25975,23832,2143
26134,23985,2149
25901,23680,2221
25726,23553,2173
26038,23851,2187
25778,23595,2183
25796,23598,2198
25864,23673,2191
25862,23684,2178
25660,23471,2189
25982,23809,2173
25702,23498,2204
25609,23411,2198
25695,23516,2179
25710,23486,2224
25484,23289,2195
25596,23403,2193
25526,23331,2195
25374,23181,2193
25558,23366,2192
25466,23262,2204
25448,23240,2208
25723,23524,2199
25244,23092,2152
25327,23118,2209
25325,23168,2157
25314,23124,2190
25323,23115,2208
25558,23343,2215
25403,23213,2190
25285,23091,2194
25374,23193,2181
25339,23174,2165
25272,23101,2171
25684,23490,2194
25620,23441,2179
25517,23302,2215
25753,23547,2206
25709,23497,2212
25651,23428,2223
25774,23558,2216
25690,23487,2203
25643,23392,2251
25693,23453,2240
25681,23452,2229
25452,23240,2212
25747,23552,2195
25579,23391,2188
25442,23234,2208
25541,23354,2187
25484,23322,2162
25340,23123,2217
25465,23250,2215
25421,23244,2177
25351,23149,2202
25472,23285,2187
25568,23352,2216
25347,23151,2196
25569,23377,2192
25446,23274,2172
25407,23212,2195
25440,23241,2199
25414,23206,2208
25220,23050,2170
25449,23241,2208
25507,23343,2164
25177,22978,2199
25214,23029,2185
25149,22959,2190
24910,22723,2187
25460,23221,2239
25536,23338,2198
25176,22957,2219
25288,23124,2164
25285,23035,2250
25071,22843,2228
25252,23009,2243
25329,23106,2223
25343,23112,2231
25182,22998,2184
25283,23067,2216
25113,22920,2193
25446,23222,2224
25519,23323,2196
25433,23219,2214
25333,23132,2201
25424,23183,2241
25296,23090,2206
25516,23311,2205
25590,23364,2226
25477,23259,2218
25514,23303,2211
25536,23303,2233
25384,23163,2221
25514,23314,2200
25525,23344,2181
25291,23087,2204
25297,23106,2191
25485,23256,2229
25289,23070,2219
25479,23256,2223
25440,23202,2238
25436,23229,2207
25368,23199,2169
25423,23203,2220
25236,23044,2192
25327,23157,2170
25417,23227,2190
25229,23008,2221
25116,22915,2201
25263,23024,2239
24964,22739,2225
25033,22820,2213
24986,22762,2224
24956,22729,2227
24811,22613,2198
24804,22593,2211
24745,22647,2098
25137,23027,2110
26078,24022,2056
26343,24299,2044
26597,24673,1924
27834,25917,1917
26870,25065,1805
26072,24376,1696
23980,22375,1605
22532,20967,1565
21529,20097,1432
19450,18150,1300
16732,15419,1313
14848,13581,1267
10737,9051,1686
6931,5384,1547
4794,3498,1296
2371,1402,969
993,557,436
525,326,199
292,202,90
119,119,0
135,135,0
128,128,0
77,77,0
137,137,0
58,58,0
102,102,0
57,57,0
141,141,0
58,58,0
128,128,0
135,135,0
87,87,0
17,17,0
190,190,0
61,56,5
214,183,31
92,92,0
209,167,42
197,160,37
578,336,242
1114,658,456
1115,746,369
1694,1194,500
3541,2341,1200
4034,2760,1274
6593,5400,1193
8860,7761,1099
9599,8526,1073
11175,10170,1005
13645,12456,1189
14317,13201,1116
15387,14196,1191
16282,15148,1134
16840,15719,1121
17366,16250,1116
18516,17287,1229
18965,17797,1168
20217,18943,1274
21241,19888,1353
22178,20846,1332
23128,21726,1402
24582,23062,1520
24942,23350,1592
26549,24828,1721
27710,25840,1870
27421,25456,1965
27683,25695,1988
27881,25839,2042
27602,25571,2031
27802,25736,2066
27468,25408,2060
27362,25282,2080
27504,25411,2093
27423,25338,2085
27205,25098,2107
27631,25496,2135
27232,25140,2092
27112,24990,2122
27125,25014,2111
27311,25201,2110
27038,24953,2085
27296,25206,2090
27076,24993,2083
26999,24897,2102
